id,artist,event,venue,city,event_time,public_start,presale_start,presale_end,url
rZ7HnEZ1AKON7f,,Winyah w/ Edgehill,The Basement East,Nashville,2025-12-19T02:00:00Z,2025-06-20T16:00:00Z,,,https://www.ticketweb.com/event/winyah-w-edgehill-the-basement-east-tickets/13823114
rZ7HnEZ1Af_VFd,,Judson Brown Band,Sideouts Sports Tavern,Island Lake,2025-12-20T02:30:00Z,2025-11-06T18:00:00Z,,,https://www.ticketweb.com/event/judson-brown-band-sideouts-sports-tavern-tickets/14674203
rZ7HnEZ1AfbtON,,Nite Wave's Totally 80s Christmas Party,Tractor,Seattle,2025-12-20T05:00:00Z,2025-10-30T17:00:00Z,,,https://www.ticketweb.com/event/nite-waves-totally-80s-christmas-tractor-tickets/14629823
rZ7HnEZ1Aff4Zd,,Deadfest Band (Grateful Dead Tribute) + Peach Jam (Allman Brothers Band Tribute),Joe's Live Rosemont,Rosemont,2025-12-20T02:00:00Z,2025-09-02T15:00:00Z,,,https://www.ticketweb.com/event/deadfest-band-grateful-dead-tribute-joes-live-rosemont-tickets/14515003
rZ7HnEZ1AfokPS,,80's with KNYGHT RYDER,Gaslamp Long Beach,Long Beach,2025-12-20T05:00:00Z,2025-05-07T01:00:00Z,,,https://www.ticketweb.com/event/80s-with-knyght-ryder-gaslamp-long-beach-tickets/14446973
rZ7HnEZ1Afp8FN,,90's HOLIDAY PARTY w/ Stifler's Mom-The Ultimate 90's Experience,Cutting Room,New York,2025-12-20T03:00:00Z,2025-09-29T14:00:00Z,,,https://www.ticketweb.com/event/90s-holiday-party-w-stiflers-cutting-room-tickets/14590223
rZ7HnEZ1AK0UqV,Hell's Belles,"Hell's Belles, Girls N' Roses",The Crocodile,Seattle,2025-12-21T02:00:00Z,2025-08-06T16:00:00Z,,,https://www.ticketweb.com/event/hells-belles-girls-n-roses-the-crocodile-tickets/13936774
rZ7HnEZ1Af_Pfd,,Kibby & The Biscuits,Exit/In,Nashville,2025-12-23T02:00:00Z,2025-11-06T17:00:00Z,,,https://www.ticketweb.com/event/kibby-the-biscuits-exitin-tickets/14665503
rZ7HnEZ1Af_6AS,,Human Clay (Creed Tribute) and Moments of Brilliance,Conduit,Winter Park,2025-12-27T00:00:00Z,2025-10-27T19:30:00Z,,,https://www.ticketweb.com/event/human-clay-creed-tribute-and-conduit-tickets/14647173
rZ7HnEZ1Afo6vK,,80's with KNYGHT RYDER,Gaslamp Long Beach,Long Beach,2025-12-27T05:00:00Z,2025-05-07T01:00:00Z,,,https://www.ticketweb.com/event/80s-with-knyght-ryder-gaslamp-long-beach-tickets/14447053
rZ7HnEZ1AKOPGV,L.A. Guns,LA Guns,The Coach House,San Juan Capistrano,2025-12-28T03:00:00Z,2025-06-25T17:00:00Z,,,https://www.ticketweb.com/event/la-guns-the-coach-house-tickets/13825334
rZ7HnEZ1AffKGN,,No Can Do A Tribute To The Music Of Daryl Hall & John Oates,Shank Hall,Milwaukee,2025-12-28T02:00:00Z,2025-08-25T15:00:00Z,,,https://www.ticketweb.com/event/no-can-do-a-tribute-shank-hall-tickets/14513323
Z7r9jZ1A7jwaZ,Janet Jackson,Janet Jackson - 21+,Yaamava Theater,Highland,2025-12-30T04:00:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7jwaZ
Z7r9jZ1A7q-x9,Jefferson Starship,Jefferson Starship (21+),FireKeepers Casino,Battle Creek,2025-12-30T01:00:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7q-x9
Z7r9jZ1A7q74a,KC & the Sunshine Band,KC And The Sunshine Band,The Show - Agua Caliente Casino,Rancho Mirage,2026-01-01T04:00:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7q74a
rZ7HnEZ1AK-g47,,Yachty By Nature,The Coach House,San Juan Capistrano,2026-01-01T04:00:00Z,2025-07-15T17:00:00Z,,,https://www.ticketweb.com/event/yachty-by-nature-the-coach-house-tickets/13875544
rZ7HnEZ1Af4EZK,,JL Entertainment Presents: JUMP - America's Van Halen Experience with Drew Cagle and the Reputation,Joe's Live Rosemont,Rosemont,2026-01-04T01:30:00Z,2025-09-24T15:00:00Z,,,https://www.ticketweb.com/event/jl-entertainment-presents-jump-joes-live-rosemont-tickets/14567013
Z7r9jZ1A7jUv_,Ricky Martin,Ricky Martin - Ages: 21+,Yaamava Resort & Casino at San Manuel,Highland,2026-01-09T04:00:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7jUv_
rZ7HnEZ1AKxoq0,The FABBA Show - A Tribute to ABBA,"The FABBA Show - Tribute to Abba, It's Britney Beep",Belly Up,Solana Beach,2026-01-10T05:00:00Z,2025-09-12T17:00:00Z,,,https://www.ticketweb.com/event/the-fabba-show-belly-up-tickets/13891764
Z7r9jZ1A7b8jV,Boogie Knights,Boogie Knights - Guests Under 18 Require Accompanying Adult,Canyon Club-CA,Agoura Hills,2026-01-11T05:00:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7b8jV
rZ7HnEZ1Aff9jK,The Amish Outlaws,The Amish Outlaws,Daryl's House,Pawling,2026-01-16T01:00:00Z,2025-09-24T14:00:00Z,,,https://www.ticketweb.com/event/the-amish-outlaws-daryls-house-tickets/14517713
rZ7HnEZ1Afp4oS,,Electric Avenue 'The 80s MTV Experience',FIVE,Jacksonville,2026-01-17T01:00:00Z,2025-10-08T15:00:00Z,,,https://www.ticketweb.com/event/electric-avenue-the-80s-mtv-five-tickets/14595473
rZ7HnEZ1Af_3vS,,K Pop Night ,Blind Pig,Ann Arbor,2026-01-18T00:00:00Z,2025-10-28T19:50:00Z,,,https://www.ticketweb.com/event/k-pop-night-blind-pig-tickets/14652073
rZ7HnEZ1Af_wFd,Super Diamond,Super Diamond,Bimbo's 365 Club,San Francisco,2026-01-18T04:00:00Z,2025-11-06T01:00:00Z,,,https://www.ticketweb.com/event/super-diamond-bimbos-365-club-tickets/14672203
rZ7HnEZ1Afb6PS,Jessie's Girl,Back To The Eighties Show with Jessie's Girl,S.O.B.'s,New York,2026-01-18T01:00:00Z,2025-10-09T16:00:00Z,,,https://www.ticketweb.com/event/back-to-the-eighties-show-sobs-tickets/14607973
rZ7HnEZ1Af40eK,Great White,GREAT WHITE and SLAUGHTER,Ferg's Concert Pavilion,St. Petersburg,2026-01-24T00:00:00Z,2025-09-19T13:00:00Z,,,https://www.ticketweb.com/event/great-white-and-slaughter-fergs-concert-pavilion-tickets/14564093
rZ7HnEZ1AfoKfK,Steve Forbert,Steve Forbert and The New Renditions,Iridium,New York,2026-01-24T01:30:00Z,2025-05-08T04:00:00Z,,,https://www.ticketweb.com/event/steve-forbert-and-the-new-iridium-tickets/14453513
Z7r9jZ1A7q9PI,Big Time Rush,Big Time Rush: In Real Life Worldwide,State Farm Center,Champaign,2026-01-25T01:00:00Z,2025-10-24T15:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7q9PI
rZ7HnEZ1AK0vjV,Gene Loves Jezebel,Gene Loves Jezebel and Bow Wow Wow,The Coach House,San Juan Capistrano,2026-01-25T03:00:00Z,2025-07-29T17:00:00Z,,,https://www.ticketweb.com/event/gene-loves-jezebel-and-bow-the-coach-house-tickets/13901734
