id,change,artist,event,venue,city,event_time,public_start,presale_start,presale_end,url
vv17jZbwGkmwLN84,CHANGED:presale_end,MadFiddle,MadFiddle & Highway 151,High Noon Saloon,Madison,2025-11-23T17:00:00Z,2025-09-15T15:00:00Z,,,https://www.ticketmaster.com/madfiddle-highway-151-madison-wisconsin-11-23-2025/event/0700632BB27E3415
G5vzZbiUrx3hj,CHANGED:presale_start,CoComelon,CoComelon: Sing-A-Long LIVE,Paramount Theatre,Denver,2025-12-02T01:00:00Z,2025-06-17T18:00:00Z,,,https://www.ticketmaster.com/cocomelon-singalong-live-denver-colorado-12-01-2025/event/1E0062CD9E8926DC
G5vzZbiUrx3hj,CHANGED:presale_end,CoComelon,CoComelon: Sing-A-Long LIVE,Paramount Theatre,Denver,2025-12-02T01:00:00Z,2025-06-17T18:00:00Z,,,https://www.ticketmaster.com/cocomelon-singalong-live-denver-colorado-12-01-2025/event/1E0062CD9E8926DC
G5vzZbiS7BPb8,CHANGED:presale_start,CoComelon,CoComelon: Sing-A-Long LIVE,Rio Rancho Events Center,Rio Rancho,2025-12-03T01:00:00Z,2025-06-17T18:00:00Z,,,https://www.ticketmaster.com/cocomelon-singalong-live-rio-rancho-new-mexico-12-02-2025/event/1E0062CCC4EA5610
G5vzZbiS7BPb8,CHANGED:presale_end,CoComelon,CoComelon: Sing-A-Long LIVE,Rio Rancho Events Center,Rio Rancho,2025-12-03T01:00:00Z,2025-06-17T18:00:00Z,,,https://www.ticketmaster.com/cocomelon-singalong-live-rio-rancho-new-mexico-12-02-2025/event/1E0062CCC4EA5610
G5viZbiLE66dv,CHANGED:presale_start,CoComelon,CoComelon: Sing-A-Long LIVE CANCELLED,Baton Rouge River Center Theater,Baton Rouge,2025-12-05T00:00:00Z,2025-06-17T16:00:00Z,,,https://www.ticketmaster.com/cocomelon-singalong-live-cancelled-baton-rouge-louisiana-12-04-2025/event/1B0062C7E71C70C1
G5viZbiLE66dv,CHANGED:presale_end,CoComelon,CoComelon: Sing-A-Long LIVE CANCELLED,Baton Rouge River Center Theater,Baton Rouge,2025-12-05T00:00:00Z,2025-06-17T16:00:00Z,,,https://www.ticketmaster.com/cocomelon-singalong-live-cancelled-baton-rouge-louisiana-12-04-2025/event/1B0062C7E71C70C1
Z7r9jZ1A7bEoY,CHANGED:presale_start,CoComelon,CoComelon Sing A Long Live (Anyone over the age of 2 MUST have a ticket),Majestic Theatre San Antonio,San Antonio,2025-12-06T20:00:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7bEoY
Z7r9jZ1A7bEoY,CHANGED:presale_end,CoComelon,CoComelon Sing A Long Live (Anyone over the age of 2 MUST have a ticket),Majestic Theatre San Antonio,San Antonio,2025-12-06T20:00:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7bEoY
vv1AvZkuvGkePCaNR,CHANGED:presale_start,A Charlie Brown Christmas,A Charlie Brown Christmas: The Music of Vince Guaraldi feat. R4ND4ZZO ,Attucks Theatre,Norfolk,2025-12-15T00:30:00Z,2025-10-10T14:00:00Z,,,https://www.ticketmaster.com/a-charlie-brown-christmas-the-music-norfolk-virginia-12-14-2025/event/01006341A53898EF
