id,name,artist,event_local_date,event_local_time,venue,city,country,url
Z7r9jZ1A7Qv80,Silvana Estrada (16 and Over),Silvana Estrada,2025-11-23,20:00:00,Webster Hall,New York,United States Of America,https://www.ticketmaster.com/event/Z7r9jZ1A7Qv80
Z7r9jZ1A7_7Z4,Mammoth w/ Myles Kennedy,Mammoth,2025-11-23,19:00:00,EPIC Event Center,Green Bay,United States Of America,https://www.ticketmaster.com/event/Z7r9jZ1A7_7Z4
Z7r9jZ1A7_fZk,Rome,Rome,2025-11-23,20:00:00,Terminal West,Atlanta,United States Of America,https://www.ticketmaster.com/event/Z7r9jZ1A7_fZk
Z7r9jZ1A7bgO-,The Bends,The Bends,2025-11-23,20:00:00,The Sinclair Music Hall,Cambridge,United States Of America,https://www.ticketmaster.com/event/Z7r9jZ1A7bgO-
Z7r9jZ1A7byqv,Spiritbox w/ Periphery,Spiritbox,2025-11-23,19:00:00,The Midland Theatre - MO,Kansas City,United States Of America,https://www.ticketmaster.com/event/Z7r9jZ1A7byqv
Z7r9jZ1A7j3CK,Junior Varsity w/ Park,Junior Varsity,2025-11-23,19:00:00,The Castle Theatre,Bloomington,United States Of America,https://www.ticketmaster.com/event/Z7r9jZ1A7j3CK
Z7r9jZ1A7jYaF,Ariel Pink,Ariel Pink,2025-11-23,20:00:00,The Broadberry,Richmond,United States Of America,https://www.ticketmaster.com/event/Z7r9jZ1A7jYaF
Z7r9jZ1A7jb0p,LCD Soundsystem,LCD Soundsystem,2025-11-23,20:00:00,Knockdown Center,Maspeth,United States Of America,https://www.ticketmaster.com/event/Z7r9jZ1A7jb0p
Z7r9jZ1A7p91d,Boz Scaggs,Boz Scaggs,2025-11-23,19:00:00,The Pinnacle - TN,Nashville,United States Of America,https://www.ticketmaster.com/event/Z7r9jZ1A7p91d
Z7r9jZ1A7rZrk,Amy LaVere,Amy Lavere,2025-11-23,20:00:00,118 North,Wayne,United States Of America,https://www.ticketmaster.com/event/Z7r9jZ1A7rZrk
k7vGFbVMheMTA,Damon Smith,Damon Smith,2025-11-23,20:00:00,Mercury Lounge,New York,United States Of America,https://www.ticketmaster.com/damon-smith-new-york-new-york-11-23-2025/event/0000634DDB0B7FC5
rZ7HnEZ1Af40Qd,Expo’76 and the Total Pro Horns: Record Release Party for “Hot in the Dark”,,2025-11-23,19:00:00,SPACE,Evanston,United States Of America,https://www.ticketweb.com/event/expo76-and-the-total-pro-space-tickets/14564683
rZ7HnEZ1Af4xQK,Murderous... Again: LYDIA LUNCH + TIM DAHL,Lydia Lunch,2025-11-23,20:00:00,B Side Lounge,Cleveland Heights,United States Of America,https://www.ticketweb.com/event/murderous-again-lydia-lunch-b-side-lounge-tickets/14562693
rZ7HnEZ1Af8N7S,Jackyl,Jackyl,2025-11-23,19:00:00,Hobart Art Theatre,Hobart,United States Of America,https://www.ticketweb.com/event/jackyl-hobart-art-theatre-tickets/14423133
rZ7HnEZ1AfGFfN,Arooj Aftab,Arooj Aftab,2025-11-23,20:00:00,Blue Note Jazz Club,New York,United States Of America,https://www.ticketweb.com/event/arooj-aftab-blue-note-jazz-club-tickets/14308523
rZ7HnEZ1AfbJpd,Percaso w/ Justoid and yourstepdad,,2025-11-23,19:00:00,The Forge,Joliet,United States Of America,https://www.ticketweb.com/event/percaso-w-justoid-and-yourstepdad-the-forge-tickets/14626583
rZ7HnEZ1Aff4Gd,"Daddy Long Legs, Handsome Jack, Simon & The Apparatus",Daddy Long Legs,2025-11-23,20:00:00,Grog Shop,Cleveland Heights,United States Of America,https://www.ticketweb.com/event/daddy-long-legs-handsome-jack-grog-shop-tickets/14515303
rZ7HnEZ1Aff4Od,Giovannie and the Hired Guns and Austin Meade,Giovannie & The Hired Guns,2025-11-23,19:00:00,Bourbon Theatre,Lincoln,United States Of America,https://www.ticketweb.com/event/giovannie-and-the-hired-guns-bourbon-theatre-tickets/14515803
rZ7HnEZ1Aff9Ad,Joe Machi,Joe Machi,2025-11-23,18:00:00,Denver Improv,Denver,United States Of America,https://www.ticketweb.com/event/joe-machi-denver-improv-tickets/14517143
rZ7HnEZ1AffIoS,"KATY GUILLEN & THE DRIVE ""Make That Sound"" Album Release Party!",,2025-11-23,19:00:00,FITZGERALDS SIDEBAR,Berwyn,United States Of America,https://www.ticketweb.com/event/katy-guillen-the-drive-fitzgeralds-sidebar-tickets/14528473
rZ7HnEZ1AffMuS,US99 Presents: Low Dough Show with Scotty McCreery,Scotty McCreery,2025-11-23,19:00:00,Joe's Live Rosemont,Rosemont,United States Of America,https://www.ticketweb.com/event/us99-presents-low-dough-show-joes-live-rosemont-tickets/14537373
rZ7HnEZ1AffyFS,Noah Guthrie and Nathan Graham,Noah Guthrie,2025-11-23,19:00:00,The Basement,Nashville,United States Of America,https://www.ticketweb.com/event/noah-guthrie-and-nathan-graham-the-basement-tickets/14539233
rZ7HnEZ1Afo4fN,"John 5, Richie Kotzen",JOHN 5,2025-11-23,19:00:00,The Apollo Theatre Ac,Belvidere,United States Of America,https://www.ticketweb.com/event/john-5-richie-kotzen-the-apollo-theatre-ac-tickets/14455523
rZ7HnEZ1AfpvJK,Saturdays At Your Place: these things happen tour,saturdays at your place,2025-11-23,19:00:00,Bottom Lounge,Chicago,United States Of America,https://www.ticketweb.com/event/saturdays-at-your-place-these-bottom-lounge-tickets/14581993
vv17FZbPGkl3FJxs,Luis R Conriquez - Trakas HDSPM Tour,Luis R Conriquez,2025-11-23,20:00:00,The Santander Arena ,Reading,United States Of America,https://www.ticketmaster.com/luis-r-conriquez-trakas-hdspm-tour-reading-pennsylvania-11-23-2025/event/0200625AD22268B1
vv17FZbYGkwBQwuX,Dijon,Dijon,2025-11-23,20:00:00,The Met Presented by Highmark,Philadelphia,United States Of America,https://www.ticketmaster.com/dijon-philadelphia-pennsylvania-11-23-2025/event/0200630CBA6B237E
vv17bZbYGkU3Sv80,Pentatonix: Christmas in the City Tour ,Pentatonix,2025-11-23,19:00:00,Enterprise Center,Saint Louis,United States Of America,https://www.ticketmaster.com/pentatonix-christmas-in-the-city-tour-saint-louis-missouri-11-23-2025/event/0600630D92CC1424
vv17bZbsGkY3rQdK,UMI - PEOPLE STORIES WORLD TOUR,UMI,2025-11-23,19:00:00,Varsity Theater,Minneapolis,United States Of America,https://www.ticketmaster.com/umi-people-stories-world-tour-minneapolis-minnesota-11-23-2025/event/0600631C1279A0D3
vv1A6ZkG4GkdV2frS,One Night in Memphis,One Night in Memphis,2025-11-23,19:00:00,George Van Dusen Theatre at North Shore Center,Skokie,United States Of America,https://www.ticketmaster.com/one-night-in-memphis-skokie-illinois-11-23-2025/event/07006315F43D47B3
vv1A8vNGpGACkZRO,Valiant: Prove Them Wrong Tour,Valiant,2025-11-23,20:00:00,The Grand (Boston),Boston,United States Of America,https://www.ticketmaster.com/valiant-prove-them-wrong-tour-boston-massachusetts-11-23-2025/event/010063316E180BE0
vv1AeZkGNGkdGrSVB,Night Ranger,Night Ranger,2025-11-23,20:00:00,The Santander Performing Arts Center ,Reading,United States Of America,https://www.ticketmaster.com/night-ranger-reading-pennsylvania-11-23-2025/event/02006323CC7B3D3A
vv1AeZkGvGke-9V2n,The Academy Is...- Almost Here. 20th Anniversary Tour,The Academy Is,2025-11-23,20:00:00,The Fillmore Philadelphia,Philadelphia,United States Of America,https://www.ticketmaster.com/the-academy-is-almost-here-20th-philadelphia-pennsylvania-11-23-2025/event/02006301A15F43EA
vv1AvZkG3Gkd6cesv,Ensiferum,Ensiferum,2025-11-23,20:00:00,Elevation 27,Virginia Beach,United States Of America,https://www.ticketmaster.com/ensiferum-virginia-beach-virginia-11-23-2025/event/01006312C7B42C41
vv1F7ZbYr4FtZd2v1,Jonny Fritz,Jonny Fritz,2025-11-23,20:00:00,The Southern Café & Music Hall,Charlottesville,United States Of America,https://www.ticketmaster.com/jonny-fritz-charlottesville-virginia-11-23-2025/event/0100630795229E09
vvG17ZbREInq4-,Dexter and The Moonrocks,Dexter and The Moonrocks,2025-11-23,20:00:00,Crystal Ballroom at Somerville Theatre,Somerville,United States Of America,https://www.ticketmaster.com/dexter-and-the-moonrocks-somerville-massachusetts-11-23-2025/event/010062F9E8A9D561
vvG17ZbnL6f78U,Blue October,Blue October,2025-11-23,20:00:00,State Theatre,Portland,United States Of America,https://www.ticketmaster.com/blue-october-portland-maine-11-23-2025/event/010062A7C7504436
vvG18ZbmHdwP1G,Yelawolf 45 Tour With J Michael Phillips ,Yelawolf,2025-11-23,19:00:00,House of Blues Chicago,Chicago,United States Of America,https://www.ticketmaster.com/yelawolf-45-tour-with-j-michael-chicago-illinois-11-23-2025/event/040062EF03CA528C
